comment,label
the projected lesson in the screen is not so visible for students at the back,-1
it is good that the teacher discussed php with mysql,1
it is good that the teacher is roaming around while discussing but most of the time she is not facing the students,1
the teacher is ready with her slides clicker and portable with amplifier,1
the teacher checked the attendance before starting the class which is good,1
there are students not wearing their monday uniform,-1
it is good that the students are participating in the discussion,1
the ppt is ready and customized to reflect the ccs dept,1
the students should be led to synthesize the lesson,-1
the students at the back should be involved in the disussion,-1
the teacher should see to it that the students at the back are listening,-1
always prepared,1
involved the students in the discussion which is good,1
the teacher mentioned some objectives but not so clear for the students,0
the teacher should consider the students at the back while demonstrating the html code,-1
it is not so readable,-1
there are students at the back wearing caps,-1
the teacher shows mastery of the subject matter,1
the teacher should led the students to synthesize the lesson,-1
the teacher should involve the students in the discussion,-1
should submit all grades on time,-1
the teacher should consider the students at the back,-1
the teacher should have asked the students to pickup the pieces of paper and plastic in the classroom before starting the class,-1
there are students not wearing the monday uniform,-1
the teacher checked the attendance before starting the lesson,1
the lesson objectives was not clearly discussed to the students,-1
the teacher involved the students in the discussion and the students are participating,1
there are late students,-1
the students are participative in the discussion,1
activities are provided for student participation,1
consider the students sitting at the back dont forget to involve them in the discussion,-1
voice is loud and clear,1
the teacher involved the students by asking questions,1
the teacher involved the students in the discussion,1
consider not facing the board most of the time while discussing,-1
students should be led to synthesize the lesson,0
the teacher involved the students in the discussion by asking questions,1
the teacher shows mastery of the subject,1
needs to do own research,-1
needs to be a psite7 member,-1
the teacher involved the students om the discussion by asking questions,1
needs to be a csps member,-1
should submit ob and file leave in advance,-1
the teacher is prepared with his lessons,1
the teachers voice is loud and clear,1
the students are involved in the discussion,1
needs to do research,-1
be a member of psite7,-1
needs to complete the research,-1
involve the students in the discussion,0
the teacher displays mastery of the subject matter,1
consider involving the students at the back during discussion,-1
the teacher should consider roaming around while discussing,-1
the teacher shows mastery of the lesssons,1
the teacher is always prepared with his lessons,1
the teacher should consider roaming around,0
the teacher is actively correcting the students while performing songs in nihongo,1
the students should be involved in the discussion,0
the students at the back hould be involved in the discussion,-1
to do research,-1
needs to be a member of psite,-1
should follow tge prescribed class record,-1
need to do research,-1
to be a member of psite7,-1
needs to be a psite member,-1
file a leave when absent,-1
needs to be a psite7 member,-1
needs to be a csps member also,-1
needs to be a psite member,-1
started the class with student motivation in mind,1
the teacher encourages the student to interact by asking a series of questions,1
please consider asking the students to arrange the chairs properly,-1
do not discuss in vernacular most of the time,-1
do not speak in vernacular most of the time and encourage the students to answer in english,-1
the teacher asks questions to provide opportunities for interaction,1
the teacher started on time,1
the teacher discusses calmly and clearly,1
the teacher exhibits mastery of the subject matter,1
loud and clear voice,1
avoid speaking in vernacular most of the time,-1
the teacher is wellprepared in his lessons,1
the teacher exhibit mastery of the subject matter,1
the students are participative,1
the teacher has a well modulated voice,1
the students are participative,1
you should also involve the students at tha back to avoid them from sleeping in the class 1 student sleeping,-1
started on time and dismissed on time,1
the teacher has well modulated voice,1
the teacher is wellprepared with her lessons,1
the teacher always ask questions to encourage students to participate,1
the teacher speak in vernacular most of the time,-1
9 students only,0
the lecture ended with a quiz,0
the teacher is punctual in her class,1
the teacher involved the students in her discussion,1
the teacher is well prepared for her lessons,1
involve the students more in the discussion of the lessons,-1
the teacher uses mic to modulate her voice,1
involved the students in the discussion by asking questions,1
some students are late,-1
the teacher should also mind involving the students at the back,-1
reporting at 130 by the students,0
the teacher ask questions to test the understanding of the reporters,0
played a video,0
the teacher uses mic to modulate voice,1
allows the students to discuss it passport topics,0
some students are 12 minutes late,-1
the join operations discussion could be better discussed with visual example,-1
the teacher should also consider checking the back portion because some students at the back are not listening,-1
it seems like its the 1st time the teacher operates the tv,-1
the writings on the board should be cleared before discussing,-1
consider changing the font of the source code to a bigger font when discussing,-1
involved the students in the discussion through group presentation,1
some students at the back are not listening,-1
the chairs in the room is not well arranged,-1
some students at the back are not paying attention also the teachers voice is not very audible,-1
there are students sleeping and not listening at the back,-1
consider asking the students to pickup the trashes before starting the class,-1
well modulated voice,1
speak in english most of the time,0
asked questions to the students to encourage participation,1
the text size displayed in the tv is not so visible for students at the back,-1
the teacher is not engaging the students while deomnstrating the code in class,-1
some students are not listening and attention should be called to students at the back watching tv 2nd to the last row near the aircon,-1
there is no studentteacher interaction,-1
students at the back are almost all the time just looking at their phone,-1
the teachers voice is okay audible,1
the teacher is punctual,1
the teacher demonstrate mastery of the lesson,1
the teacher did not state the objectives before starting the classlecture,-1
the teacher should also involve or mind the students at the back because i observed some are not listening,-1
the teacher did not start on time,-1
the teacher did not start with clear objectives,-1
make sure that your visuals are also readable at the back,-1
the students were participative and able to follow the lesson,1
the teacher should consider pausing while discussing very technical topics so that the student can catch up,-1
check the cleanliness of the room because i can see plastics and paper and water bottle not thrown in the garbage can,-1
the teacher discusses calmly and clearly the lessons,1
the teacher should roam around to check the students at the back because there are students who are sleeping,-1
the teacher is 20 mins late in his lab class at 1030 am,-1
in discussing ui make sure to consider zooming or enlarging the ui so that the students at the back can actually see it clearer,-1
consider involving the students at the back because some are not listening,-1
make your voice louder,-1
the teacher is wellprepared,1
the teacher should modulate more his voice,-1
the students are very participative in the discussion which is a good sign,1
the teacher is prepared with her lessons,1
the teacher always involved the students in the discussion,0
the teacher roam around to check the students understanding of the topic at the back,1
the writing in the board is small consider writing more legibly,-1
the room is hot,-1
the students at the back are complaining of the small handwriting,-1
the teacher should face the students while discussing,-1
the students in front are participative but the students at the back are not,0
the writing of the teacher is not so visible at the back,-1
board work is given to solicit student participation,1
it is a good thing that maam emily is walking around while discussing,1
prepared for her class,1
the teacher is not just sitting while discussing she finds time to roam around while discussing,1
the teacher speaks in vernacular most of the time,-1
the teacher cited examples from work,1
the discussion is smooth flowing but lacks student interaction,0
consider transferring the students at the back to transfer in front since the class is just fewer,0
well prepared,1
punctual in class,1
asks questions to solicit student interaction,1
starts with a review which is good,1
please consider to involve the students at the back,-1
consider minding the students far from you during the discussion,-1
the teacher shows expertise of the topic discussed,1
consider modulating your voice more,-1
provide more opportunities for studentteacher intearction,-1
better use class in addressing the whole class instead of guys,-1
please do not speak in vernacular most of the time,-1
discusses calmly and clearly,1
some students are late in attending class,-1
please tell the student to remove their caps while inside the class,-1
the teacher is ready with his discussion,1
the teacher discusses the lesson calmly and clearly,1
the teacher exhibits masterry of the lessons discussed,1
the teachers voie is loud and clear,1
the teacher is lively making the class alive,1
it is good that the teacher is moving around while discussing,1
well prepared with his lesson,1
discusses the lesson clearly,1
the teacher exhibits mastery of the lessons,1
use of appropriate tools for teaching the lesson was evident,1
the teacher is prepared with his lesson,1
there is not much student interaction,-1
started with a review of the previous lesson which is good,1
as much as possible do not speak in vernacular most of the time,-1
avoid very late filing of leaves,-1
should submit tos or table of specifications,-1
should use the standard class record with midterm grade,-1
with tos but needs to be modified,-1
should submit table of specifications for major exams,-1
started with what have been discussed last meeting,1
started with an outline,1
the teacher is techy enough to make use of the tablet as part of his visual aid,1
encourages the students to ask questions,1
with 2 hours lecture the teacher should incorporate ice breakers,-1
the teacher is well prepared,1
started on time,1
the students were reporting,0
the teacher was aking questions to each reporter,0
asked questions to the students to encourage participation,1
did not let the students synthesize the lessons before ending the class,-1
the students were group reporting,0
asked questions to each reporter,0
i am waiting for the teacher to give his own views about the topics after each group were finished,-1
the teacher make the effort to make the class lively,1
the teacher always encourages the students to ask questions,1
the class is lively,1
the students are participating,1
the topic discussed should be ms excel already since its already semifinals,-1
there is not so much studentteacher interaction,-1
the teacher exhibits mastery of the lesson discussed,1
asked questions to students to sustain interaction,1
the students are not led to synthesize the lesson before ending the class,-1
provide more opportunities for student interaction,-1
less student teacher interaction,-1
provide more opportunities for student to interact,-1
started and ended on time,1
encourage your students to cooperate,-1
the students should be led to synthesize the lesson before ending the class,-1
checked the attendance before the discussion,1
asked questions to students but the students did not participate,-1
dismissed the class at 806 which is early,-1
the students should be led to synthesize the lessons before ending the class,-1
checked the attendance before starting the class,1
asked questions to the students to encourage interaction,1
students should be led to synthesize the lessons before ending the class,-1
asked questions to the students,1
please provide encouraging motivation before starting the discussion,-1
started on time with attendance checking,1
explains in vernacular most of the time,-1
please led the students to synthesize the lesson before the end of the discussion,-1
checked the attendance before starting the discussion,1
not so much studentteacher interaction,-1
started on time,1
the teacher encourages the students to answer questions,1
always asked questions to the students to facilitate interaction,1
students are participative,1
ask more questions to your students to facilitate interaction,-1
did not start on time,-1
checked the attendance before the discussion which is a good practice,1
be mindful in modulating your voice because sometimes it is inaudible,-1
you should start your class with objective clearly utilizes codechum as per any instruction,0
speaks in vernacular most of the time,-1
started with a review which is good,1
should have discussed ms excel topics already since its semifinals,-1
on time,1
please led the students to synthesize the lesson before ending the class,-1
asks questions to the students to encourage participation,1
attend more seminars for professional development,-1
the teacher has the tendecy of not facing the students while discussing,-1
there is no active studentteacher intearction,-1
provide more opportunities for studentteacher interaction,-1
asked questions for students to intearct,1
students were not led to synthesize the lesson,-1
always involved the students in the discussion by askig questions,1
clear and specific lesson objectives should be discussed first before starting the formal discussion,-1
started on time,1
checked the attendance,1
students are encouraged to ask questions,1
the students are participative in the discussion and activities,1
used jamboard to discuss number system operations,1
discussed less than 1 hour but gave an exercise until 12 noon,0
no ppt slides but shows noteslessons in word,-1
child is interrupting the class,-1
uses ppt slides for the lesson which is good,1
asks questions to the students,1
needs to particpate more in comex activities reasearch and ccs activities,-1
explained in vernacular most of the time,-1
uses paint and tutorials point for lesson discussion,0
asks students partcicpation from time to time,1
the codes presented in the tv is not so visible for students at the back,-1
there is garbage at the back so ask your students first to pick up the garbage before starting the class,-1
not so much intearction from the students,-1
straight discussion,-1
not so much interaction,-1
no student intearction,-1
did not check the attendance before starting,-1
not so much student interaction,-1
need to participate or initiate more student activities,-1
the teacher provides reallife experiences,1
the teacher explains the lesson with clarity using the english language,1
learning objectives are clearly comunicated to students,1
the teacher is always ready with her lessons,1
she makes the discussion engaging,1
discussion is loud and clear,1
well modulated voice,1
the teacher asked questions ensure student involvement in the discussion,1
the end of semester deliverables for teacher submitted on time,1
the teaher demonstrated mastery of the lesson,1
the teacher is on time,1
the teacher should mind involving the students at the back,-1
ther students should be led to synthersize the lesson,-1
shuold submit endofsemester requirements on time,-1
the teacher voice is loud and clear,1
ther teacher provided suficient activities that students to participate,1
it is good that the teacher provided oppurtunities for students to collaborate,1
discussion is loud and clear,1
well modulated voice,1
the teacher is prapared,1
the teacher asked questions to ensure student involvement in the discussion,1
the endofsem deliverable for teachers should be submitted on time,-1
the teacher should mind involving the students at the back,-1
the teacher is on time,1
the teacher demonstrated mastery of the lesson,1
consider the students at the back if the source code displayed is still visible or not,-1
there is lack of studentteacher interaction,-1
should file a leave when absent if needed,-1
the teacher converse in english most of the time which is good,1
the teacher asked questions to encourage student participation,1
the teachers voice is audible,1
some student at the back not listening,-1
there should be more studentteacher interaction,-1
some students are late and should be discouraged to be late,-1
the teachers involves the students through q and a,1
some students at the back are not paying attention,-1
the students at the back are not engaged,-1
tell the students to pick up small trashes,-1
should file leave if needed when absent,-1
the teacher is on time,1
voice is wellmodulated,1
the teacher discusses the lessons clearly,1
voice is loud and clear,1
the teacher should roam around to check the student not listening at the back,-1
should submit endofsem clearance on time,-1
the teacher should let the students synthesize the lesson,-1
the teacher roams around to check the students at the back,1
consider writing legibly,-1
the lms should be used as soon as possible,-1
the teacher is on time and ready for the discussion,1
voice should be modulated,-1
some students at the back are not paying attention and should be engaged,-1
some students are late and should be reminded not to be late,-1
the teacher involved the students in the discussing through asking questions,1
should attend f2f meetings more often because you usually attend online,-1
should submit updated syllabus on time,-1
it is good that the teacher is mindful of the pacing of the discussion,1
the teachers voice is wellmodulated,1
advice your students to pickup the trash near them before starting the class since i can see a few trash in the room,-1
started with attendance checking,1
the teacher always involve the students in the discussion,1
the teacher knows how to handle the students well,1
he should conduct evaluation to check if the objectives are achieved by students,-1
he should clearly state the objectives of the lesson,-1
the teacher has audible voice during the delivery of lesson,1
should submit endofsem deliverable on time,-1
the discussion is clear,1
the teacher made sure that the students will paticipate,1
the teacher is on time and wellprepared,1
the students are involved by asking questions,1
the teacher is demonstrating mastery of the lesson,1
there was appropriate studentteacher interaction,1
should submit endof sem clearance requirements on time,-1
the students will be led to synthesize the lesson,-1
the teacher is on time and prepared,1
the students at the back should be considered which discussing,-1
there should be appropriate studentteacher interaction,-1
the teacher is wellmodulated,1
the teacher demonstrate mastery of the subject matter,1
should submit endofsemester clearance requirements on time,-1
the teacher involves the students in the discussion by asking them some questions,1
the teacher started on time,1
the teacher should check the students at the back because some are not paying attention,-1
the teacher is prepared with his lesson ,1
the teacher should not speak in vernacular most of the time,-1
the teacher involves the students in the discussion by asking probing questions,1
end of the sem requirements,0
the lms should be used as soon as possible,-1
the teacher is on time and ready for his discussion,1
the teacher shows expertise of the topics discussed,1
consider minding the students at the back,-1
the teacher should encourage student interaction,-1
the students should be led to synthesize the lesson,-1
should provide more opportunities for studentteacher interaction,-1
the students should be led to synthesize the lessons,-1
well prepared,1
the teacher discusses calmly and clearly,1
the lms should be utilized as soon as possible,-1
the teacher should be led to synthesize the lesson,-1
the teacher is prepared,1
should submit endofsem requirments on time,-1
the teachers voice is loud and clear,1
the teacher provided sufficient activities that students to participate,1
it is good that the teacher provides opportunities for students to collaborate,-1
some students at the back are not listening or not paying attention,-1
the teacher prepared for the lesson of the day,1
the teacher is on time time and prepared,1
you should minimize your lates and absences,-1
