comment,label
the projected lesson in the screen is not so visible for students at the back,-1
it is good that the teacher discussed php with mysql,1
it is good that the teacher is roaming around while discussing but most of the time she is not facing the students,1
the teacher is ready with her slides clicker and portable with amplifier,1
the teacher checked the attendance before starting the class which is good,1
there are students not wearing their monday uniform,-1
it is good that the students are participating in the discussion,1
the ppt is ready and customized to reflect the ccs dept,1
the students should be led to synthesize the lesson,-1
the students at the back should be involved in the disussion,-1
the teacher should see to it that the students at the back are listening,-1
always prepared,1
involved the students in the discussion which is good,1
the teacher mentioned some objectives but not so clear for the students,0
the teacher should consider the students at the back while demonstrating the html code,-1
it is not so readable,-1
there are students at the back wearing caps,-1
the teacher shows mastery of the subject matter,1
the teacher should led the students to synthesize the lesson,-1
the teacher should involve the students in the discussion,-1
should submit all grades on time,-1
the teacher should consider the students at the back,-1
the teacher should have asked the students to pickup the pieces of paper and plastic in the classroom before starting the class,-1
there are students not wearing the monday uniform,-1
the teacher checked the attendance before starting the lesson,1
the lesson objectives was not clearly discussed to the students,-1
the teacher involved the students in the discussion and the students are participating,1
there are late students,-1
the students are participative in the discussion,1
activities are provided for student participation,1
consider the students sitting at the back dont forget to involve them in the discussion,-1
voice is loud and clear,1
the teacher involved the students by asking questions,1
the teacher involved the students in the discussion,1
consider not facing the board most of the time while discussing,-1
students should be led to synthesize the lesson,0
the teacher involved the students in the discussion by asking questions,1
the teacher shows mastery of the subject,1
needs to do own research,-1
needs to be a psite7 member,-1
the teacher involved the students om the discussion by asking questions,1
needs to be a csps member,-1
should submit ob and file leave in advance,-1
the teacher is prepared with his lessons,1
the teachers voice is loud and clear,1
the students are involved in the discussion,1
needs to do research,-1
be a member of psite7,-1
needs to complete the research,-1
involve the students in the discussion,0
the teacher displays mastery of the subject matter,1
consider involving the students at the back during discussion,-1
the teacher should consider roaming around while discussing,-1
the teacher shows mastery of the lesssons,1
the teacher is always prepared with his lessons,1
the teacher should consider roaming around,0
the teacher is actively correcting the students while performing songs in nihongo,1
the students should be involved in the discussion,0
the students at the back hould be involved in the discussion,-1
to do research,-1
needs to be a member of psite,-1
should follow tge prescribed class record,-1
need to do research,-1
to be a member of psite7,-1
needs to be a psite member,-1
file a leave when absent,-1
needs to be a psite7 member,-1
needs to be a csps member also,-1
needs to be a psite member,-1
started the class with student motivation in mind,1
the teacher encourages the student to interact by asking a series of questions,1
please consider asking the students to arrange the chairs properly,-1
do not discuss in vernacular most of the time,-1
do not speak in vernacular most of the time and encourage the students to answer in english,-1
the teacher asks questions to provide opportunities for interaction,1
the teacher started on time,1
the teacher discusses calmly and clearly,1
the teacher exhibits mastery of the subject matter,1
loud and clear voice,1
avoid speaking in vernacular most of the time,-1
the teacher is wellprepared in his lessons,1
the teacher exhibit mastery of the subject matter,1
the students are participative,1
the teacher has a well modulated voice,1
the students are participative,1
you should also involve the students at tha back to avoid them from sleeping in the class 1 student sleeping,-1
started on time and dismissed on time,1
the teacher has well modulated voice,1
the teacher is wellprepared with her lessons,1
the teacher always ask questions to encourage students to participate,1
the teacher speak in vernacular most of the time,-1
9 students only,0
the lecture ended with a quiz,0
the teacher is punctual in her class,1
the teacher involved the students in her discussion,1
the teacher is well prepared for her lessons,1
involve the students more in the discussion of the lessons,-1
the teacher uses mic to modulate her voice,1
involved the students in the discussion by asking questions,1
some students are late,-1
the teacher should also mind involving the students at the back,-1
reporting at 130 by the students,0
the teacher ask questions to test the understanding of the reporters,0
played a video,0
the teacher uses mic to modulate voice,1
allows the students to discuss it passport topics,0
some students are 12 minutes late,-1
the join operations discussion could be better discussed with visual example,-1
the teacher should also consider checking the back portion because some students at the back are not listening,-1
it seems like its the 1st time the teacher operates the tv,-1
the writings on the board should be cleared before discussing,-1
consider changing the font of the source code to a bigger font when discussing,-1
involved the students in the discussion through group presentation,1
some students at the back are not listening,-1
the chairs in the room is not well arranged,-1
some students at the back are not paying attention also the teachers voice is not very audible,-1
there are students sleeping and not listening at the back,-1
consider asking the students to pickup the trashes before starting the class,-1
well modulated voice,1
speak in english most of the time,0
asked questions to the students to encourage participation,1
the text size displayed in the tv is not so visible for students at the back,-1
the teacher is not engaging the students while deomnstrating the code in class,-1
some students are not listening and attention should be called to students at the back watching tv 2nd to the last row near the aircon,-1
there is no studentteacher interaction,-1
students at the back are almost all the time just looking at their phone,-1
the teachers voice is okay audible,1
the teacher is punctual,1
the teacher demonstrate mastery of the lesson,1
the teacher did not state the objectives before starting the classlecture,-1
the teacher should also involve or mind the students at the back because i observed some are not listening,-1
the teacher did not start on time,-1
the teacher did not start with clear objectives,-1
make sure that your visuals are also readable at the back,-1
the students were participative and able to follow the lesson,1
the teacher should consider pausing while discussing very technical topics so that the student can catch up,-1
check the cleanliness of the room because i can see plastics and paper and water bottle not thrown in the garbage can,-1
the teacher discusses calmly and clearly the lessons,1
the teacher should roam around to check the students at the back because there are students who are sleeping,-1
the teacher is 20 mins late in his lab class at 1030 am,-1
in discussing ui make sure to consider zooming or enlarging the ui so that the students at the back can actually see it clearer,-1
consider involving the students at the back because some are not listening,-1
make your voice louder,-1
the teacher is wellprepared,1
the teacher should modulate more his voice,-1
the students are very participative in the discussion which is a good sign,1
the teacher is prepared with her lessons,1
the teacher always involved the students in the discussion,0
the teacher roam around to check the students understanding of the topic at the back,1
the writing in the board is small consider writing more legibly,-1
the room is hot,-1
the students at the back are complaining of the small handwriting,-1
the teacher should face the students while discussing,-1
the students in front are participative but the students at the back are not,0
the writing of the teacher is not so visible at the back,-1
board work is given to solicit student participation,1
it is a good thing that maam emily is walking around while discussing,1
prepared for her class,1
the teacher is not just sitting while discussing she finds time to roam around while discussing,1
the teacher speaks in vernacular most of the time,-1
the teacher cited examples from work,1
the discussion is smooth flowing but lacks student interaction,0
consider transferring the students at the back to transfer in front since the class is just fewer,0
well prepared,1
punctual in class,1
asks questions to solicit student interaction,1
starts with a review which is good,1
please consider to involve the students at the back,-1
consider minding the students far from you during the discussion,-1
the teacher shows expertise of the topic discussed,1
consider modulating your voice more,-1
provide more opportunities for studentteacher intearction,-1
better use class in addressing the whole class instead of guys,-1
please do not speak in vernacular most of the time,-1
discusses calmly and clearly,1
some students are late in attending class,-1
please tell the student to remove their caps while inside the class,-1
the teacher is ready with his discussion,1
the teacher discusses the lesson calmly and clearly,1
the teacher exhibits masterry of the lessons discussed,1
the teachers voie is loud and clear,1
the teacher is lively making the class alive,1
it is good that the teacher is moving around while discussing,1
well prepared with his lesson,1
discusses the lesson clearly,1
the teacher exhibits mastery of the lessons,1
use of appropriate tools for teaching the lesson was evident,1
the teacher is prepared with his lesson,1
there is not much student interaction,-1
started with a review of the previous lesson which is good,1
as much as possible do not speak in vernacular most of the time,-1
avoid very late filing of leaves,-1
should submit tos or table of specifications,-1
should use the standard class record with midterm grade,-1
with tos but needs to be modified,-1
should submit table of specifications for major exams,-1
started with what have been discussed last meeting,1
started with an outline,1
the teacher is techy enough to make use of the tablet as part of his visual aid,1
encourages the students to ask questions,1
with 2 hours lecture the teacher should incorporate ice breakers,-1
the teacher is well prepared,1
started on time,1
the students were reporting,0
the teacher was aking questions to each reporter,0
asked questions to the students to encourage participation,1
did not let the students synthesize the lessons before ending the class,-1
the students were group reporting,0
asked questions to each reporter,0
i am waiting for the teacher to give his own views about the topics after each group were finished,-1
the teacher make the effort to make the class lively,1
the teacher always encourages the students to ask questions,1
the class is lively,1
the students are participating,1
the topic discussed should be ms excel already since its already semifinals,-1
there is not so much studentteacher interaction,-1
the teacher exhibits mastery of the lesson discussed,1
asked questions to students to sustain interaction,1
the students are not led to synthesize the lesson before ending the class,-1
provide more opportunities for student interaction,-1
less student teacher interaction,-1
provide more opportunities for student to interact,-1
started and ended on time,1
encourage your students to cooperate,-1
the students should be led to synthesize the lesson before ending the class,-1
checked the attendance before the discussion,1
asked questions to students but the students did not participate,-1
dismissed the class at 806 which is early,-1
the students should be led to synthesize the lessons before ending the class,-1
checked the attendance before starting the class,1
asked questions to the students to encourage interaction,1
students should be led to synthesize the lessons before ending the class,-1
asked questions to the students,1
please provide encouraging motivation before starting the discussion,-1
started on time with attendance checking,1
explains in vernacular most of the time,-1
please led the students to synthesize the lesson before the end of the discussion,-1
checked the attendance before starting the discussion,1
not so much studentteacher interaction,-1
started on time,1
the teacher encourages the students to answer questions,1
always asked questions to the students to facilitate interaction,1
students are participative,1
ask more questions to your students to facilitate interaction,-1
did not start on time,-1
checked the attendance before the discussion which is a good practice,1
be mindful in modulating your voice because sometimes it is inaudible,-1
you should start your class with objective clearly utilizes codechum as per any instruction,0
speaks in vernacular most of the time,-1
started with a review which is good,1
should have discussed ms excel topics already since its semifinals,-1
on time,1
please led the students to synthesize the lesson before ending the class,-1
asks questions to the students to encourage participation,1
attend more seminars for professional development,-1
the teacher has the tendecy of not facing the students while discussing,-1
there is no active studentteacher intearction,-1
provide more opportunities for studentteacher interaction,-1
asked questions for students to intearct,1
students were not led to synthesize the lesson,-1
always involved the students in the discussion by askig questions,1
clear and specific lesson objectives should be discussed first before starting the formal discussion,-1
started on time,1
checked the attendance,1
students are encouraged to ask questions,1
the students are participative in the discussion and activities,1
used jamboard to discuss number system operations,1
discussed less than 1 hour but gave an exercise until 12 noon,0
no ppt slides but shows noteslessons in word,-1
child is interrupting the class,-1
uses ppt slides for the lesson which is good,1
asks questions to the students,1
needs to particpate more in comex activities reasearch and ccs activities,-1
explained in vernacular most of the time,-1
uses paint and tutorials point for lesson discussion,0
asks students partcicpation from time to time,1
the codes presented in the tv is not so visible for students at the back,-1
there is garbage at the back so ask your students first to pick up the garbage before starting the class,-1
not so much intearction from the students,-1
straight discussion,-1
not so much interaction,-1
no student intearction,-1
did not check the attendance before starting,-1
not so much student interaction,-1
need to participate or initiate more student activities,-1
the teacher provides reallife experiences,1
the teacher explains the lesson with clarity using the english language,1
learning objectives are clearly comunicated to students,1
the teacher is always ready with her lessons,1
she makes the discussion engaging,1
discussion is loud and clear,1
well modulated voice,1
the teacher asked questions ensure student involvement in the discussion,1
the end of semester deliverables for teacher submitted on time,1
the teaher demonstrated mastery of the lesson,1
the teacher is on time,1
the teacher should mind involving the students at the back,-1
ther students should be led to synthersize the lesson,-1
shuold submit endofsemester requirements on time,-1
the teacher voice is loud and clear,1
ther teacher provided suficient activities that students to participate,1
it is good that the teacher provided oppurtunities for students to collaborate,1
discussion is loud and clear,1
well modulated voice,1
the teacher is prapared,1
the teacher asked questions to ensure student involvement in the discussion,1
the endofsem deliverable for teachers should be submitted on time,-1
the teacher should mind involving the students at the back,-1
the teacher is on time,1
the teacher demonstrated mastery of the lesson,1
consider the students at the back if the source code displayed is still visible or not,-1
there is lack of studentteacher interaction,-1
should file a leave when absent if needed,-1
the teacher converse in english most of the time which is good,1
the teacher asked questions to encourage student participation,1
the teachers voice is audible,1
some student at the back not listening,-1
there should be more studentteacher interaction,-1
some students are late and should be discouraged to be late,-1
the teachers involves the students through q and a,1
some students at the back are not paying attention,-1
the students at the back are not engaged,-1
tell the students to pick up small trashes,-1
should file leave if needed when absent,-1
the teacher is on time,1
voice is wellmodulated,1
the teacher discusses the lessons clearly,1
voice is loud and clear,1
the teacher should roam around to check the student not listening at the back,-1
should submit endofsem clearance on time,-1
the teacher should let the students synthesize the lesson,-1
the teacher roams around to check the students at the back,1
consider writing legibly,-1
the lms should be used as soon as possible,-1
the teacher is on time and ready for the discussion,1
voice should be modulated,-1
some students at the back are not paying attention and should be engaged,-1
some students are late and should be reminded not to be late,-1
the teacher involved the students in the discussing through asking questions,1
should attend f2f meetings more often because you usually attend online,-1
should submit updated syllabus on time,-1
it is good that the teacher is mindful of the pacing of the discussion,1
the teachers voice is wellmodulated,1
advice your students to pickup the trash near them before starting the class since i can see a few trash in the room,-1
started with attendance checking,1
the teacher always involve the students in the discussion,1
the teacher knows how to handle the students well,1
he should conduct evaluation to check if the objectives are achieved by students,-1
he should clearly state the objectives of the lesson,-1
the teacher has audible voice during the delivery of lesson,1
should submit endofsem deliverable on time,-1
the discussion is clear,1
the teacher made sure that the students will paticipate,1
the teacher is on time and wellprepared,1
the students are involved by asking questions,1
the teacher is demonstrating mastery of the lesson,1
there was appropriate studentteacher interaction,1
should submit endof sem clearance requirements on time,-1
the students will be led to synthesize the lesson,-1
the teacher is on time and prepared,1
the students at the back should be considered which discussing,-1
there should be appropriate studentteacher interaction,-1
the teacher is wellmodulated,1
the teacher demonstrate mastery of the subject matter,1
should submit endofsemester clearance requirements on time,-1
the teacher involves the students in the discussion by asking them some questions,1
the teacher started on time,1
the teacher should check the students at the back because some are not paying attention,-1
the teacher is prepared with his lesson ,1
the teacher should not speak in vernacular most of the time,-1
the teacher involves the students in the discussion by asking probing questions,1
end of the sem requirements,0
the lms should be used as soon as possible,-1
the teacher is on time and ready for his discussion,1
the teacher shows expertise of the topics discussed,1
consider minding the students at the back,-1
the teacher should encourage student interaction,-1
the students should be led to synthesize the lesson,-1
should provide more opportunities for studentteacher interaction,-1
the students should be led to synthesize the lessons,-1
well prepared,1
the teacher discusses calmly and clearly,1
the lms should be utilized as soon as possible,-1
the teacher should be led to synthesize the lesson,-1
the teacher is prepared,1
should submit endofsem requirments on time,-1
the teachers voice is loud and clear,1
the teacher provided sufficient activities that students to participate,1
it is good that the teacher provides opportunities for students to collaborate,-1
some students at the back are not listening or not paying attention,-1
the teacher prepared for the lesson of the day,1
the teacher is on time time and prepared,1
you should minimize your lates and absences,-1
the lms should be utilized as early as possible,-1
the students at the back are not listening,-1
should submit updated syllabus on time,-1
the students at the back are not engaged,-1
the teacher shouuld roam around to check the students are liustening at the back,-1
should attend f2f meeting more often because you usually attend,-1
should submit end of sem deliverable on time,-1
showed submit end of sem clearance requirements on time,-1
the teacher demonstrates mastery of the subject matter,1
should submit end of sem clearance requirements on time,-1
the teacher should check the students at the back because some are not listening,-1
the teacher is prepared with his lesson,1
end of sem requirements,0
objectives must be stated before starting the discussion,-1
the teacher uses mic to make her voice audible to everyone which is good,1
should physically help in the sipp seminars,-1
students are participative in the discussion,1
the figures written on the board for discussion needs to be more visible especially the students sitting at the back,-1
should face the students while discussion,-1
students at the back should be involved in the discussion,-1
remind your students coming late not to be late in class,-1
should refrain from being late in the first subject,-1
the teacher utilizes the lms during the discussion,1
the writings on the board is not so visible for students sitting at the back,-1
the teacher is supposed to discuss powerpoint since its already finals period,-1
the teacher should consider engaging with the students sitting at the back,-1
shows mystery of the lesson discussed,1
draws the attention of the students,1
demonstrates mastery of the subject matter,1
involved the students by asking questions,1
should submit updated syllabus,-1
relates the topics discussed to the real world,1
the teacher should not speak in vernacular most of the time,-1
student participation is very evident,1
the teacher uses mic to make her voice more audible,1
the students are actively participating in the discussion,1
the teacher should be able to handle rowdy students,-1
shows mystery of the lesson,1
should make his voice more audible for students at the back,-1
attendance should be improved,-1
provides feedback to the students,1
students are participating in the discussion,1
the students should be asked to pick up the trashes before starting the formed discussion,-1
relates the topics discussion the real life work which is good,1
relates lesson to her real work,1
should include tos in the class record,-1
students at the back should be cosidered while discussing,-1
should discuss lessons following the syllabus,-1
should give more examples,-1
group activity is great,1
should provide more examples for students to understand,-1
should be more punctual in his first class,-1
involved the students in the discussion,1
shows mastery of the lesson disccused,1
discussion is clear,1
students at the back should be considered while discussing,-1
shows mastery at the subject matter,1
improve punctuality in the first class,-1
involved the students in the discussion by requiring them to participate,1
student participation is evident,1
mastery of the subject matter is evident,1
the teacher should consider standing up sometimes while discussing,-1
lms should be utilized more often,-1
provided real world examples,1
students are involved in the discussion of the lessons,1
encourages the students to participate,1
should utilize the canvas lms,-1
the teacher encourages student interaction,1
attendance was checked,1
should inform in advance if cant attend f2f class,-1
the teacher exhibits mastery ofthe topic discussed,1
utilizes the learning resources,1
there should be more student interaction,-1
do not speak in vernacular most of the time,0
we have a hard time understanding each question every time we have a quiz because some of the terms or definitions are different from her presentation im hoping shell tell us the title and author of the book andor the material she is referring to,-1
almost 1 month wala nag meet then naghatag ra ug video presentation after 3 days gipa take na mi ug midterm exam,-1
nag hatag ug 100 items exam halos walay gitudlo ga exersice rami,-1
excellent,1
hope that he can understand well the students who have a hard time on the internet and sometimes there is no internet and especially those who dont have gadgets hope that sir is always kind to us and hopefully he wont make us suffer in this subject,-1
i hope the teacher will be kind to us because we seem crazy when it comes to quizzes he only gives us a little time like 12 mins for 30 or 40 items after all the notes are so far away that no one comes out of the quizzes even if one of us is kind to us,-1
i like teacher librado because we understand everything he teaches making it possible for us to be clear and able to understand the lesson every day,1
the word i can say is this teacher is so very good at teaching,1
thank you miss for teaching us and for helping us understand the lesson thankyou for giving us enough time to study for the quiz and i am happy because all of my quizzes are all passed thankyou miss and god bless,1
very good teacher,1
ive learned so much very good teacher,1
he is a good teacher,1
good teacher,1
a good teacher,1
goood teacher,1
she is a good and a very kind teacher,1
a very kind teacher,1
he is very knowledgeable about the course but we couldnt understand the lessons well because he rarely discussed to us and would just gave us yt videos to watch or pdf files to read however hes good and engaging especially about the use of excel,-1
he usually meets us late but we understand it because of the low signal in his area however i observed that he never checked our attendance at all but hes good too,-1
i couldnt understand her way of teaching because her voice is so low and the background noise is greater than her voice i just read the ppt she presented in order to follow her discussion,-1
i couldnt understand her ppt and her way of teaching but maybe she did her best its just that its not effective to us,-1
a satisfying teacher,1
very nice teacher,1
a very nice teacher,1
a very nice and fun teacher,1
i admired miss kathleens way of teaching she is the kind of teacher i prayed in this mode of learning online classes she is so patient and considerate that us her students would not be ashamed to ask for questions and clarifications,1
sir jovert the energetic kind and considerate teacher which is why the class is also interactive he always show his genuine care to the students and he is the teacher that i prayed in this new mode of learning online classes big respect to sir,1
okay ra nga magkamaestro,1
for the 1st half of semester wala pa jud ni siya ka discuss namo he just gave us a youtube video discussion maypag wala nalng nagpaenrol kung in ani man lang i hope mo discuss na jud ni siya kay murag dili jud ni maayo sa usa ka instructor thanks,-1
no comment,0
wlay klaro nga pagkainstructor kung magpaexam sya kami ang magsuffer intawn kay naapay password then after around 30 mins unya pa ihatag sometimes hurot na jud ang time unya pa ihatag ang pass kami intawn naghuwat niya mo send discuss napud tawn,-1
dli moila og consider if in ana man maypag nagpa multiple choice nlng ka naa may uban teacher mo consider nganong ikaw dili man pero sige nalang thanks and god bless,-1
okay raman siya but he sometimes reason out sa amoa nga busy sya maong dli makasulod usahay,-1
she handled the class very well and i learned a lot about the topics she discusses with us,1
she is very precise with the topic and very resourceful with regards to presentation,1
she presents discussion so well so that we students can easily follow also she initiates open discussion which i enjoy much during our synchronous schedule,1
we may seldomly meet with this subject but the resources that he provides are very important i even wanted to buy a copy of the book but it is always not available he provides reading modules as well as video discussion on the topic for our activity,-1
the materials he uses like video compilations during our meetings shows reality in present society we uses classin platform which is very interactive and so far he is the only instructor i have that created a gc in the lms,1
subject is very challenging specially all our exams and quizzes are oral based but above all the subject is very interesting maybe because he really specify that we must follow what is stated in the law and not on the actual practice,1
what i really level up my interest in this subject is that thou we have a textbook he insures that we also learn what is in the present situation of our country and this subject also pushes as to our usual study habit for all exams are oral recitation,1
good teacher usahay muana siya kabaw ko nakaagi namo ani nga lesson iya expectation tananon nya nga nakabalo pero wa sya kabalo nga dili tanan nakaagi atu na lesson,-1
sometimes good,0
good,1
miss mary joy is calm yet authoritative instructor she is not hard to us the reason why my blockmates admired her a lot i would also say that she is the teacher that fits well in this online classes so much thanks to miss mary joy,1
miss is a good and approachable teacher i like to learn more about this subject because of miss she inspire me to learn more about the subject not just the subject also the teacher herself,1
dr cabaero is good professor he is also a very competent professor i learned a lot with him i hope and pray that he will be one of my thesis adviser soon thanks dr cabaero,1
dr villahermosa is a kind professor she is a competent professor and always understanding thank you po do for the support and help god bless you always po,1
dr argate is my undergrad instructor and until now hes a competent professor kind and helpful im luck enough to be his students hes a part of my journey as a professional i will be thankful to you dr rex i hope and pray he will be my thesis ad,1
i hope sir if students chatted youll respond to them like raising their concerns dont leave them hanging in the gc were trying our best to cope up with your lessons and its not our fault if ever our connection is lost or having a brown out sir thank,-1
thank you miss i really like how you discuss your lesson miss makasabot jd mi3,1
sir i hope you discuss clearly next time sir sometimes man gd makalibog and about sa board nimo sir naay part suwaw kaayo di makita ang ge suwat sa board but thank you gihapon kaayo sir we learned a lot from you,-1
thank you sir we learned something new about your lessons,1
thank you miss for being understandable ug mo consider jd ka panagsa miss dako na kaayo na kalipay ug tabang namo miss as a students i like also the way ka mo discuss miss makasabot jd mi,1
thank you maam i like the way ka mo discuss maam naa jd mi masabtan,1
thank you kaayo sir kay mo consider jd ka bsag late you never discouraged your students instead you motivate us sir also the way ka mo discuss sir naa jd mi masabtan and ma learn were grateful to have a teacher like you sir unta tanan,1
during one of the meetings we had on this subject most of our classmates were unable to access classin because they did not have proper gadgets to support the app she got mad and she accused my classmates of being abusive and di maningkamot,-1
hope nga mo consider naka sir kay its not easy to have an online class that we are facing that some of the errors of the lms and even the device hope sad sir mo read naka sa amo mga messages sir sa lms ug sa messenger sir thank you and god bless sir,-1
no comment sir nindot ka motudlo thank you diay sir and god bless,1
technicalities are not accepted in his class we cant avoid technicalities especially for those who are data users,-1
good instructor,1
i really like how he handles the class it gives us reason to not give up despite of this challenging type of learning style,1
i really wanted to be part of his class again,1
i wanted to be part of his class again for he shows positive vibes and he is always open for all of our concerns,1
i really love to be part of his class again for he shows positive vibes that we students need during this though times,1
aside from she teaches us lessons about phonology she even assess us to be ready for our future i really love how see accepted our mistakes and how she corrected it in a way where we could express ourselves without being judged or discrimination,1
aside from lessons she teaches us on phonology she also teaches how be confident to face our mistakes she never treated us as someone who can never reach her level but see sees us on how she sees herself she prepared us to be like her and to be real,1
a good and moral instructor,1
mangasaba siya if masayup or naa mi hangyo wala mi freedom nga ma express amo selfimbes nga makaton miang amo ma feel kay kahadlok permikuyaw kaayo sa mental healthspecialiy sa mga freshmennaa ko klasmet niingon nga na depress siya ani nga teacher,-1
an ideal math instructor the best siya mo teach sa math,1
concerned siya sa welfare sa mga studyantevery good,1
technicalities are not accepted in his class we cant avoid technicalities especially for those who are data users,-1
she gives a lot of activities even though it is not her time when we ask consideration for time extension of our activities because we have exams or we have a class for the other subjects she said that we should do it and kami na bahala,-1
sigeg hatag ug daghang activites and sometimes mo hatag ug activities nga dili iyahang time or rest day namo sometimes ma attitude kaayo and dili kaayo confident sa iyang discussion,-1
she gives a lot of activities during midterm we only saw her once because its always asynchronous with lots of activities she wants to change our sched time bcos shes not a morning person she wants to change it at night but we didnt agree,-1
since nag change mig teacher pagsugod sa midterm which is sya ang gi ilis wala pa syay meet2 namo then ga sgeg hatag ug buhatonon then not a morning person she even asked a favor from us nga change ug sched or i move,-1
sometimes mag libog mi sa iyang discussion and paspas ra kaayo ang dicussion sometimes kay mag libog pud syas iyang discussion permi mag klase doesnt provides a combination of synchronous and asynchronous mode of teaching,-1
shes a good teacher well managed about the sched but not all students can cope up or understand the discussion i can remember when we are solving and then she said kamo na bhala ana class some students understands it but how about the others,-1
